male	white	age	foe	round2	round3	season2	cash	male1	white1	age1	foe1	win 	win1
0	0	21	0	0	1	0	7.7	1	1	25	0	3.85	3.85
0	1	18	1	1	0	1	2.5	1	1	23	1	0	0
1	0	23	0	1	0	1	3.5	0	1	23	1	0	3.5
0	1	31	0	0	0	1	1	1	1	50	0	0.5	0.5
0	1	30	0	0	1	1	4	1	1	20	0	2	2
0	1	20	0	0	1	1	9	0	1	24	1	0	9
1	1	20	1	0	0	1	0.5	1	0	41	1	0	0
1	0	31	1	0	0	1	0.5	0	1	18	1	0	0
0	1	27	1	1	0	1	3.5	1	1	23	0	3.5	0
1	1	34	0	0	1	1	6	0	1	21	1	0	6
0	1	51	0	0	0	1	0.2	1	1	22	1	0	0.2
0	1	28	0	1	0	1	4	0	1	20	0	2	2
1	0	34	0	0	1	1	8	1	1	20	1	0	8
1	1	29	1	0	0	1	1	1	1	34	0	1	0
1	0	29	1	0	1	1	5	0	1	26	1	0	0
0	1	26	0	0	0	1	0.2	1	1	27	1	0	0.2
1	1	35	1	1	0	1	0.5	0	1	19	1	0	0
1	0	29	1	1	0	1	2.5	1	1	19	0	2.5	0
0	1	32	0	0	1	1	6	0	1	20	0	3	3
0	1	29	1	0	0	1	0.5	0	1	31	0	0.5	0
1	1	23	1	0	1	1	7.5	1	1	26	0	7.5	0
1	1	25	1	1	0	1	2	0	1	44	0	2	0
0	1	42	0	0	0	1	0.5	0	1	19	1	0	0.5
1	1	24	0	1	0	1	3.5	1	1	29	1	0	3.5
0	1	24	1	0	1	1	6	0	1	29	1	0	0
1	1	32	0	0	0	1	3	0	1	22	1	0	3
0	1	31	1	0	1	1	7.5	1	1	25	0	7.5	0
1	0	36	0	0	0	1	0.5	0	1	36	0	0.25	0.25
0	1	35	0	1	0	1	3	0	1	21	0	1.5	1.5
1	1	33	1	0	1	1	4	1	1	21	1	0	0
0	0	24	0	0	0	1	0.2	1	1	20	1	0	0.2
1	0	31	0	1	0	1	0.5	0	1	19	1	0	0.5
0	1	20	1	1	0	1	3.5	1	1	42	0	3.5	0
1	1	25	0	0	1	1	8	0	1	23	0	4	4
1	0	28	1	0	0	1	0.5	0	1	30	1	0	0
0	1	24	0	0	1	1	3.5	1	1	26	0	1.75	1.75
1	1	29	0	1	0	1	2	0	1	22	1	0	2
0	1	30	1	0	0	1	0.5	0	0	22	1	0	0
1	1	24	0	1	0	1	6.5	1	1	23	1	0	6.5
1	1	42	0	0	0	1	3	0	1	27	0	1.5	1.5
0	1	23	1	0	1	1	8	1	1	19	1	0	0
1	1	27	0	1	0	1	2	1	1	38	0	1	1
0	0	40	1	0	0	1	0.5	0	1	23	1	0	0
1	1	44	0	0	1	1	7.5	1	1	22	1	0	7.5
0	1	18	1	0	0	1	0.5	0	1	20	0	0.5	0
0	1	18	0	1	0	1	2	1	0	30	1	0	2
1	1	18	1	0	1	1	6	0	0	29	1	0	0
0	1	26	1	0	1	1	3	1	1	29	1	0	0
1	1	47	1	0	0	1	1	0	1	36	1	0	0
0	0	34	1	1	0	1	2	1	1	23	1	0	0
0	1	29	0	1	0	1	5.5	0	1	19	0	2.75	2.75
1	1	43	1	0	0	1	0.5	1	1	26	1	0	0
1	1	27	1	0	0	1	0.5	0	0	26	1	0	0
0	1	23	0	1	0	1	6	1	1	25	1	0	6
1	1	20	0	0	0	1	3.5	0	1	22	0	1.75	1.75
1	1	39	1	0	1	1	9	0	1	33	1	0	0
0	1	23	0	0	0	1	1	1	1	20	0	0.5	0.5
1	1	31	1	1	0	1	4	0	0	29	1	0	0
0	1	30	0	0	1	1	4.5	1	1	28	1	0	4.5
1	1	25	1	1	0	1	1.5	0	1	40	1	0	0
0	1	28	0	0	0	1	0.2	1	1	27	1	0	0.2
1	1	21	1	0	1	1	4	0	1	19	1	0	0
0	1	23	0	0	1	1	8.5	1	1	22	0	4.25	4.25
1	1	25	1	0	0	1	1.5	0	1	27	0	1.5	0
1	1	18	0	1	0	1	6	0	1	22	1	0	6
0	1	26	1	0	1	1	2.5	1	1	22	1	0	0
1	1	34	0	0	0	1	1.5	0	0	28	1	0	1.5
1	1	23	1	0	0	1	1.5	0	1	20	1	0	0
0	1	41	0	0	0	1	0.5	1	1	65	1	0	0.5
1	0	22	1	1	0	1	5	0	1	27	1	0	0
1	0	27	1	0	1	1	5	0	1	23	1	0	0
0	1	22	0	0	1	1	1.5	1	1	30	1	0	1.5
1	1	27	1	0	0	1	1	0	0	27	0	1	0
0	1	31	1	0	0	1	1	0	1	26	1	0	0
1	0	21	1	0	1	1	7	1	0	37	1	0	0
0	1	43	1	0	0	1	0.5	0	1	22	1	0	0
1	1	26	0	1	0	1	6	0	1	20	0	3	3
1	1	36	0	0	0	1	0.5	1	0	24	0	0.25	0.25
0	1	32	1	0	1	1	2	0	0	29	0	2	0
1	1	21	0	1	0	1	0.5	0	1	21	0	0.25	0.25
1	1	22	1	0	1	1	6	1	1	29	1	0	0
0	1	24	0	0	0	1	1.5	0	1	19	1	0	1.5
1	1	23	1	0	0	1	1.5	0	1	25	0	1.5	0
1	1	32	0	0	0	1	0.5	1	1	33	0	0.25	0.25
0	0	39	1	0	1	1	5	0	1	24	1	0	0
0	1	41	0	1	0	1	3	0	0	32	0	1.5	1.5
1	1	28	1	0	1	1	5.5	1	1	23	0	5.5	0
0	1	24	1	0	0	1	0.2	1	1	22	1	0	0
0	1	25	0	0	0	1	0.2	1	1	23	0	0.1	0.1
0	0	29	1	0	1	1	6.5	0	1	28	1	0	0
1	1	30	0	0	0	1	2	1	1	22	1	0	2
0	1	32	0	0	0	1	2	1	1	35	0	1	1
0	1	51	0	0	0	1	0.5	0	1	29	0	0.25	0.25
1	1	19	0	0	1	1	3	1	0	30	0	1.5	1.5
1	1	22	0	0	0	1	0.5	1	1	22	1	0	0.5
0	0	32	1	0	0	1	0.5	0	1	24	0	0.5	0
0	1	28	1	0	1	1	4	1	1	30	1	0	0
0	1	40	0	1	0	1	1.5	0	1	27	1	0	1.5
1	0	27	1	1	0	1	5	1	1	27	1	0	0
1	1	32	0	0	0	1	0.5	0	1	32	1	0	0.5
0	1	24	1	0	1	1	15	0	1	27	0	15	0
1	1	31	0	0	0	1	0.2	1	0	31	1	0	0.2
1	1	23	1	1	0	1	1.5	0	1	23	1	0	0
0	1	33	1	0	1	1	8.5	1	0	28	1	0	0
1	0	29	0	0	1	1	3.5	1	1	26	1	0	3.5
0	1	25	0	0	0	1	1	0	1	25	0	0.5	0.5
1	1	36	1	0	0	1	1	0	1	32	1	0	0
1	1	19	1	0	1	1	6	1	1	19	0	6	0
0	1	24	1	0	0	1	2	0	1	29	1	0	0
0	1	22	1	0	0	1	2	1	1	26	1	0	0
1	1	33	0	0	0	1	0.2	0	0	23	0	0.1	0.1
0	1	23	0	1	0	1	2.5	1	1	40	1	0	2.5
0	1	20	1	0	0	1	0.5	1	1	23	1	0	0
1	1	49	1	0	1	1	8	0	0	31	1	0	0
0	1	24	0	0	0	1	1	1	1	19	1	0	1
0	0	25	1	1	0	1	2	1	1	40	0	2	0
1	1	26	1	0	1	1	6	1	1	26	0	6	0
0	1	25	0	0	0	1	0.2	0	1	29	0	0.1	0.1
0	1	46	0	1	0	1	0.5	1	0	29	1	0	0.5
0	1	29	1	0	1	1	2.5	0	1	24	0	2.5	0
1	1	39	1	0	1	1	6.5	1	1	20	1	0	0
1	1	28	0	0	0	1	2	0	1	26	1	0	2
0	1	32	1	1	0	1	5.5	0	0	27	1	0	0
1	1	34	1	0	0	1	1	0	1	34	1	0	0
0	1	36	0	0	1	1	6.5	1	1	23	0	3.25	3.25
1	0	37	1	1	0	1	3.5	0	1	49	1	0	0
0	1	32	1	1	0	1	1	1	1	19	1	0	0
0	1	22	0	0	0	1	0.2	0	1	21	0	0.1	0.1
1	1	25	0	0	1	1	2.5	1	1	28	1	0	2.5
1	0	25	1	1	0	1	4	0	1	24	1	0	0
1	1	43	0	0	0	1	1.5	0	0	26	1	0	1.5
1	1	26	1	0	1	1	5	1	1	37	1	0	0
0	1	34	1	0	0	1	1	0	1	31	1	0	0
